n_mfcc,round,true_positives,true_negatives,false_positives,false_negatives,accuracy,precision,recall,specificity,f1_score
23,4,8,263,553,475,0.2086220169361047,0.0142602495543672,0.016563146997929608,0.32230392156862747,0.015325670498084292
23,5,475,535,281,8,0.7775211701308699,0.6283068783068783,0.9834368530020704,0.6556372549019608,0.7667473769168685
23,6,475,503,313,8,0.7528868360277137,0.6027918781725888,0.9834368530020704,0.616421568627451,0.7474429583005507
23,7,3,313,503,480,0.2432640492686682,0.005928853754940711,0.006211180124223602,0.38357843137254904,0.006066734074823054
23,8,3,268,547,480,0.20878274268104777,0.005454545454545455,0.006211180124223602,0.32883435582822085,0.005808325266214908
23,9,5,274,542,478,0.21478060046189376,0.009140767824497258,0.010351966873706004,0.33578431372549017,0.009708737864077669
24,1,8,285,531,475,0.22555812163202463,0.014842300556586271,0.016563146997929608,0.3492647058823529,0.015655577299412915
24,2,6,290,526,476,0.2280431432973806,0.011278195488721804,0.012448132780082987,0.3553921568627451,0.011834319526627219
24,3,475,518,297,7,0.7656129529683886,0.6152849740932642,0.9854771784232366,0.6355828220858896,0.7575757575757576
24,4,9,276,540,473,0.21956856702619415,0.01639344262295082,0.01867219917012448,0.3382352941176471,0.01745877788554801
24,5,477,531,285,6,0.7759815242494227,0.6259842519685039,0.9875776397515528,0.6507352941176471,0.7662650602409639
24,6,9,292,524,474,0.2317167051578137,0.016885553470919325,0.018633540372670808,0.35784313725490197,0.01771653543307087
24,7,11,251,564,472,0.20184899845916796,0.019130434782608695,0.022774327122153208,0.3079754601226994,0.020793950850661626
24,8,4,291,525,478,0.22727272727272727,0.007561436672967864,0.008298755186721992,0.35661764705882354,0.00791295746785361
24,9,474,533,283,8,0.775808936825886,0.6261558784676354,0.983402489626556,0.6531862745098039,0.7651331719128329
25,1,478,501,315,5,0.7536566589684373,0.6027742749054225,0.989648033126294,0.6139705882352942,0.7492163009404388
25,2,7,315,500,475,0.24826522744795682,0.013806706114398421,0.014522821576763486,0.38650306748466257,0.014155712841253793
25,3,466,589,227,17,0.8121632024634334,0.6724386724386724,0.9648033126293996,0.7218137254901961,0.792517006802721
25,4,10,281,535,473,0.22401847575057737,0.01834862385321101,0.020703933747412008,0.3443627450980392,0.019455252918287938
25,5,7,289,527,476,0.22786759045419552,0.013108614232209739,0.014492753623188406,0.3541666666666667,0.01376597836774828
25,6,8,285,531,474,0.22573189522342066,0.014842300556586271,0.016597510373443983,0.3492647058823529,0.015670910871694418
25,7,9,228,588,474,0.18244803695150116,0.01507537688442211,0.018633540372670808,0.27941176470588236,0.016666666666666663
25,8,476,548,267,6,0.7895142636854279,0.6406460296096904,0.9875518672199171,0.6723926380368098,0.777142857142857
